id;name;total_amount;ordered;buyer_id
1;Handcrafted Granite Computer;14919;2020-07-10T16:14:58;2
2;Cotton deposit;66451;2020-07-11T14:20:52;2
3;program expedite;90773;2020-07-11T14:38:50;1
4;Burundi Franc Buckinghamshire;22;2020-07-11T00:45:32;2
5;JBOD standardization Djibouti Franc;42074;2020-07-11T07:15:07;1
6;Small customer loyalty Missouri;11113;2020-07-11T11:04:24;1
7;executive;46312;2020-07-10T20:18:23;1
8;Practical Concrete Tuna Sharable;46971;2020-07-10T16:38:46;2
9;plum;45871;2020-07-10T21:43:03;2
10;supply-chains;67394;2020-07-11T00:13:18;2
